country.name,cown,year,democracy,democracy_duration,gdppc,gini_disp,gini_disp_se,gini_mkt,gini_mkt_se,elec.leg,elec.pres,elec.any,v2cacamps,region,sve,erosion.strict,eroder,inc.top10,inc.bot50,inc.top1,wealth.top10,wealth.bot50,wealth.top1,wb.gini,prs.ge,wiid.gini,wid.gini,pre.wid.gini,v2smpolsoc
United States,2,1995,1,196,28690.8757,36.7,0.57,49.4,0.58,0,0,0,-0.622,North America,1,0,1,0.399,0.1575,0.1452,0.6683,0.0101,0.2884,39.9,NA,41.32666667,44.05422815,52.83045211,NA
United States,2,1996,1,197,29967.71272,36.8,0.58,49.5,0.59,1,1,1,-0.622,North America,1,0,1,0.408,0.1549,0.1524,0.6721,0.0085,0.2955,40.3,1,41.34,44.88134783,53.56130506,NA
United States,2,1997,1,198,31459.13898,37,0.6,49.5,0.55,0,0,0,-0.622,North America,1,0,1,0.4152,0.1526,0.1598,0.6791,0.0061,0.3043,40.5,NA,41.74,45.53150437,54.15466981,NA
United States,2,1998,1,199,32853.67695,36.8,0.56,49.3,0.51,1,0,1,-0.622,North America,1,0,1,0.4191,0.1528,0.1632,0.6857,0.0056,0.3146,40,1,41.73,45.77700251,54.34746982,NA
United States,2,1999,1,200,34513.5615,36.9,0.54,49.3,0.57,0,0,0,-0.622,North America,1,0,1,0.4228,0.1518,0.1676,0.6856,0.007,0.3176,40,NA,41.51666667,46.25701942,54.65735459,NA
United States,2,2000,1,201,36334.90878,37,0.49,49.4,0.52,1,1,1,-0.315,North America,1,0,1,0.4275,0.1507,0.1735,0.6861,0.0067,0.3235,40.1,1,41.66,46.81979553,55.0326617,0.033
United States,2,2001,1,202,37133.24281,37.3,0.5,49.7,0.52,0,0,0,-0.496,North America,1,0,1,0.4195,0.1528,0.166,0.6803,0.0068,0.319,40.6,NA,41.86333333,46.13762439,54.42324397,0.033
United States,2,2002,1,203,38023.16111,37.4,0.46,49.8,0.47,1,0,1,-0.221,North America,1,0,1,0.4151,0.1538,0.161,0.6812,0.0069,0.3139,40.4,1,42.06666667,45.89014603,54.04830371,0.033
United States,2,2003,1,204,39496.48588,37.8,0.45,50.1,0.47,0,0,0,-0.221,North America,1,0,1,0.4164,0.1508,0.1633,0.6833,0.005,0.3138,40.8,1,41.94333333,46.2306911,54.42159525,0.062
United States,2,2004,1,205,41712.80107,37.8,0.5,50.2,0.5,1,1,1,-0.221,North America,1,0,1,0.4243,0.148,0.1706,0.6878,0.0046,0.3184,40.3,1,41.99666667,46.66170493,55.10075518,0.062
United States,2,2005,1,206,44114.74778,38.3,0.48,50.4,0.49,0,0,0,0.004,North America,1,0,1,0.4358,0.1436,0.1806,0.6883,0.0054,0.326,41,1,41.92333333,47.24281746,56.13536395,0.062
United States,2,2006,1,207,46298.73144,38.5,0.49,50.2,0.52,1,0,1,0.004,North America,1,0,1,0.443,0.1406,0.1852,0.6899,0.0027,0.3303,41.4,1,42.41666667,47.79199673,56.820054,0.062
United States,2,2007,1,208,47975.9677,38.2,0.47,49.9,0.47,0,0,0,0.004,North America,1,0,1,0.4402,0.1433,0.1837,0.6958,-0.0024,0.3355,40.8,1,42.47,47.16815492,56.42291462,0.062
United States,2,2008,1,209,48382.55845,38,0.48,50.7,0.47,1,1,1,0.251,North America,1,0,1,0.4355,0.1431,0.1794,0.7095,-0.0103,0.3384,40.8,1,42.10333333,46.3944738,56.21900556,0.114
